protein_id,protein_length,cluster_id,mds_1,mds_2,is_medoid
Q9UJK0,312.0,1,-0.06741180088723524,0.024154492191689882,False
Q9Y2T7,364.0,0,-0.07697220164925121,-0.05021705944191344,False
Q13395,1621.0,0,-0.03429626527516253,-0.09716054914954773,False
P82664,201.0,4,0.04128662041904823,0.05944873014836887,False
P82673,323.0,0,-0.07534063304795145,-0.018710039597584625,False
O60306,1485.0,1,-0.06494035010606729,0.01989344379553599,False
Q9H6S0,1430.0,2,-0.08305487269337054,0.0035920164209806596,False
Q8N1G1,1221.0,2,-0.0645168651560066,0.005180743869233333,False
Q9H000,416.0,3,0.05738150721929746,-0.07289030012973617,False
Q9BRR8,931.0,2,-0.06401556357092558,0.011652590562258872,False
P46782,204.0,3,0.14516626428136478,-0.06805575411151604,False
Q9UNQ2,313.0,1,-0.010598685636093598,-0.019167433621410445,False
Q9BQI3,630.0,3,0.0047925148591673765,-0.039301082423573795,False
Q9NW64,420.0,0,0.007045745326541731,-0.07883473911274215,False
Q9H501,851.0,1,-0.0715328659939121,0.08716833958928241,False
Q9UJA5,497.0,1,-0.04105733264130559,0.01839975011163286,False
Q8N8D1,485.0,0,-0.01418586821120429,-0.026540661654922457,False
P26640,1264.0,0,-0.0895557852444406,-0.049217487809384654,False
P62318,126.0,2,0.0722027516420275,0.0025582457177251686,False
Q9Y3I0,505.0,0,0.03375720987417978,-0.10406763297152301,False
O00178,669.0,0,-0.010640995155341521,-0.08010211772011902,False
Q6NTF7,200.0,3,0.037851997597191316,-0.02994280226389826,False
O15371,548.0,2,-0.013895890283234355,0.12987790054253495,False
Q7RTV0,110.0,3,0.07573975772307755,-0.025594606811356505,False
O75132,1171.0,0,-0.07600512860280641,-0.05763605789382172,False
Q13686,389.0,3,0.08365666091384487,-0.0763366000200967,False
Q86U42,306.0,1,-0.06183229191623612,0.02131448650944698,False
P61011,504.0,0,0.010939671916341907,-0.07946892695250632,False
Q9H307,717.0,4,-0.020543691366535326,0.12545970505262066,False
Q4VXU2,619.0,3,-0.015361592907523315,-0.005725829834816652,False
Q05048,431.0,3,0.1129482232697084,-0.03872676023834014,False
Q96SZ6,601.0,2,0.0625201995898556,0.03669847602671244,False
Q9NR97,1041.0,3,0.06678735111762021,-0.11115764620833443,False
O60828,265.0,4,0.05119415047096782,0.10708364944330631,False
O43719,755.0,1,-0.11969873328150818,0.1442905939480149,False
Q14694,798.0,1,-0.0535098740869106,0.0117937591033468,False
Q96DP5,389.0,2,0.05635990045024335,0.06358134758197466,True
Q9NVM6,304.0,1,-0.04876800809791002,0.0615309788408948,False
Q9UKV8,859.0,3,0.05083074378549721,-0.052798324034143966,False
P60228,445.0,3,0.08773994037979778,-0.05903798246157279,False
P14866,589.0,0,-0.04796106931983435,-0.03627220838221113,False
Q15428,464.0,2,-0.0469623455025952,-0.06456083216751277,False
A4D1E9,387.0,0,0.025271762547005756,-0.05874871923322576,False
Q13155,320.0,3,0.10748732627039825,-0.08792820946818018,False
Q9NW13,759.0,4,-0.08587225460243178,0.14942503184876113,False
O60290,1169.0,3,-0.0062551818174434,-0.05760131734003204,False
Q9BYC8,188.0,3,0.012356105069825863,-0.03255653174588627,False
Q7Z333,2677.0,1,-0.10156295269120805,-0.009514264681723403,False
Q9H6R0,707.0,0,-0.013435296514660315,-0.09090859478333815,False
Q9Y5J1,556.0,2,-0.0174952205389451,0.08694110716413947,False
Q7Z417,695.0,0,-0.011669126797272817,-0.04418444554752345,False
P84098,196.0,2,0.03400297154353623,0.0655933271554883,False
Q07021,282.0,4,0.06810588006080082,0.04797484230047253,False
Q9NY12,217.0,3,0.0372870128137567,-0.06494148318447182,False
Q9H6F5,360.0,1,-0.10113705957818545,0.0450742392434915,False
P16989,372.0,1,-0.1078721674068759,0.012247449303884349,False
A0A499FI31,981.0,1,-0.0645292299710081,0.056674576809030645,False
Q9Y6K5,1087.0,0,-0.027174078937146073,-0.08861345963669971,False
Q13242,221.0,2,0.023062789667520945,0.0375757174854806,False
Q9NQE9,182.0,3,0.17907275008892654,-0.06623952568183021,False
Q13895,437.0,1,0.003050858340660685,0.039256533771338184,False
C9IY40,225.0,0,0.012576944739621107,-0.08738983116319143,False
P42285,1042.0,2,0.0807978506693197,0.10155240190479002,False
P49590,506.0,3,0.09304076176665485,-0.0500490986187666,False
Q5XG87,792.0,0,-0.06468078374089153,-0.11136750307606683,False
Q9NWX6,298.0,3,0.07980776362222454,-0.0523906072524117,False
P54136,660.0,2,0.15492773707807653,0.09799306229406228,False
O43818,475.0,4,0.02659216192677699,0.06767884081478108,False
O60739,113.0,2,0.1296868117522848,0.07343353141652839,False
P19525,551.0,1,-0.038315258925452726,0.066725485909704,False
Q96EP5,407.0,0,-0.010909644948119692,-0.0790515392320504,False
Q92499,740.0,3,0.10059687983308137,-0.08982615435670299,False
Q9Y3B4,125.0,2,0.07645015486788087,0.08018812015315681,False
Q4ZG55,1949.0,0,-0.09972657567155664,-0.06208589566538499,False
Q03701,1054.0,4,0.0003969636899166778,0.09158354541700188,False
Q99848,306.0,2,0.08989573860265923,0.05148214138530717,False
O95926,243.0,1,-0.001067176016056108,0.01707399897188353,False
P31939,592.0,4,0.08910864010927054,0.027278837128600065,False
Q9NYY8,710.0,3,0.08745968001586374,-0.10577770666093278,False
Q7Z6V5,191.0,4,0.07206590735820151,0.05073579685715242,False
Q9UKF6,684.0,4,0.06419283897725755,0.029492966442330668,False
Q8NHQ9,600.0,2,-0.0038546116665982024,0.14221214142337563,False
Q9BWT3,736.0,0,-0.07288365939854444,0.046955820179337755,False
Q13148,414.0,0,-0.01742059810420221,-0.09062636238435642,False
Q96QD9,318.0,2,0.06662332082015363,0.01952897077142051,False
O00148,427.0,4,0.09129539869232606,0.1304430783301671,False
Q06265,439.0,4,0.003490722443268319,0.07586080856483476,False
P09012,282.0,2,-0.008739955892527766,0.008363154857182776,False
Q13247,344.0,2,0.060051448948883174,0.0899408202541821,False
Q9ULR5,123.0,4,0.0019096209782733771,0.026392007333838587,False
Q8WVK2,155.0,4,0.02261062358004129,0.11750146099336886,False
O00566,681.0,0,-0.10997912751060779,0.04665616643684553,False
Q96EU6,259.0,2,-0.040331787679538385,0.060328495046026956,False
P09234,159.0,3,0.06654315344957902,-0.04501392361897105,False
Q5JTZ9,985.0,1,0.012536101689083803,-0.03099378002706846,False
Q9Y235,224.0,3,0.1723012934502408,-0.06317064550457242,False
Q96J94,861.0,1,-0.006723917467247219,-0.01732372743687751,False
Q9BZI7,483.0,2,-0.07255022921823531,0.12259428877388887,False
Q92797,1274.0,1,-0.03477404177753963,-0.026575104637854025,False
P08579,225.0,3,0.021300590736486855,-0.051348839232912384,False
Q9Y3A5,250.0,2,0.11887416813092312,0.06441555107801425,False
Q8IWZ8,645.0,1,-0.11564145546817826,-0.04784104032366556,False
P21506,573.0,0,0.03601705572946465,-0.07187616666855001,False
Q9UBS3,223.0,3,0.09818036861939738,-0.08894479904679001,False
P51116,673.0,0,-0.08832781235389586,-0.033251694512393,False
Q15415,496.0,0,-0.02533583590490448,0.0123519261436245,False
Q92904,295.0,0,-0.026354747963784297,-0.08766685621859938,False
Q8IX18,779.0,1,-0.022056254306458443,0.054305182533948636,False
Q7Z478,1369.0,1,-0.09861486479698989,0.05289842928550169,False
Q9H5Z1,703.0,3,0.18585206943088592,-0.07824032942682722,False
Q9BY77,421.0,1,-0.04538562603945495,0.043919082569657424,False
Q8IZ69,625.0,1,-0.01578940999703436,-0.0034202707056290695,False
Q96DF8,476.0,4,-0.008227055480717449,-0.015889854916038386,False
Q14151,953.0,1,-0.1796994898668033,0.04839681086408772,False
Q9UK45,103.0,2,0.12595267579006103,0.12898750367590864,False
Q96H86,408.0,1,-0.0891865849006207,-0.017030910390940686,False
P41091,472.0,3,0.05232814927651742,-0.07071643044479513,False
Q9BQ67,446.0,4,0.06798838801184083,0.1223138034381751,False
Q8WUA2,492.0,1,-0.034809244682049725,0.10864587313745998,False
P82663,173.0,4,0.023322222961669144,0.023746876816735325,False
P61353,136.0,2,0.10632056323770604,0.06461593420352266,False
P09661,255.0,4,0.10818639397373306,0.10999539221188816,False
Q9H9Z2,209.0,3,-0.0024931787406182503,-0.007500468162875776,False
P19474,475.0,4,0.060056580520615035,-0.004640029254931264,False
O43159,456.0,1,-0.06429839233841006,0.04322531208733412,False
Q96EY7,689.0,4,0.09475982369240528,0.07793001687493173,False
P57772,596.0,3,0.02781109147339782,-0.09987467419496564,False
Q12849,480.0,0,-0.09697701126577707,-0.09636631767890343,False
Q9NQZ2,479.0,1,-0.0485778075803661,0.12735389773967565,False
O95218,330.0,1,-0.0466325445399786,0.12206068560659873,False
O75616,437.0,3,0.18159643413724336,-0.06604667995048522,False
P38935,993.0,1,-0.11123498583484637,0.025641864734428806,False
Q96MP5,696.0,0,0.016324744640680764,-0.03732927181160724,False
Q9BXT8,1623.0,0,-0.09966782419648802,-0.057221162250028115,False
O15397,1037.0,4,0.035309700457339215,0.044098288733563126,False
Q9P031,241.0,2,0.05348801889180876,0.07867917823729291,False
P05198,315.0,4,-0.0003906517858280073,0.09804809685020781,False
P82909,103.0,3,0.05414512688439435,-0.07679664718172108,False
Q76MJ5,926.0,0,-0.0160771874320273,-0.121224190487394,False
O43776,548.0,2,0.05763819868238696,0.0827907130695198,False
Q5TAX3,1644.0,1,-0.1766958498799799,0.00486889840489443,False
Q8NAV1,312.0,4,0.015553254576182533,0.10958091638494985,False
Q86YF9,867.0,4,-0.021932994238411902,0.025808714542460115,False
Q9HA77,564.0,3,0.034003084660153685,-0.04235658303258657,False
O43347,362.0,0,0.07808546946665774,-0.0538820721819231,False
Q15646,514.0,0,0.016627228573147246,-0.025670310137692953,False
A4D1B5,854.0,3,0.09094333626222557,-0.0915190621958431,False
Q504Q3,1202.0,0,-0.020991418295160276,-0.06663333373206172,False
